Job Title
Aboriginal and Torres Strait Islander Education Officer
Aboriginal Civil Site Monitor
Aboriginal Cultural Support Worker
Aboriginal Health Liaison Officer
Aboriginal Visitor Scheme Officer
Account Manager
Accountant (General)
Accounts Clerk
Accounts Team Leader
Actor
Actuary
Acupuncturist
Administration Assistant
Administration Officer
Admissions Clerk
Advertising and Marketing Professionals
Advertising Manager
Aeronautical Engineer
Aeroplane Pilot
Age and Disability Centre Manager / Supervisor
Aged and Disabled Carers
Agricultural and Forestry Scientists
Agricultural and Horticultural Mobile Plant Operator
Agricultural Technicians
Air Traffic Controller
Air Transport Professionals
Airconditioning and Refrigeration Mechanics
Aircraft Baggage Handlers / Airline Ground Crew
Aircraft Cabin Cleaners
Aircraft Maintenance Engineer (Avionics)
Aircraft Maintenance Engineer (Mechanical)
Aircraft Refuellers
Ambulance Officers and Paramedics
"Amusement, Fitness and Sports Centre Managers"
Anaesthetic Technician
Anaesthetists
Analyst Programmer
Animal Attendants and Trainers
Appointment Setter
Apprentice - Airconditioning & Refrigeration Mechanic
Apprentice - Arborist
Apprentice - Automotive Electrician
Apprentice - Baker
Apprentice - Boilermaker
Apprentice - Bricklayer
Apprentice - Butcher
Apprentice - Cabinetmaker
Apprentice - Carpenter / Joiner
Apprentice - Concreter
Apprentice - Diesel Mechanic
Apprentice - Electrician
Apprentice - Fitter and Turner
Apprentice - Floor Finisher
Apprentice - Glazier
Apprentice - Hairdresser
Apprentice - Horticulturalist
Apprentice - Landscaper
Apprentice - Motor Mechanic
Apprentice - Painter and Decorator
Apprentice - Panel Beater
Apprentice - Pastrycook
Apprentice - Plasterer (Fibrous)
Apprentice - Plasterer (Solid) - Renderer
Apprentice - Plumber
Apprentice - Printer
Apprentice - Roof Plumber
Apprentice - Roof Tiler
Apprentice - Shopfitter
Apprentice - Signwriter
Apprentice - Spray Painter (Vehicle)
Apprentice - Stonemason
Apprentice - Tiler
Apprentice - Tyre Fitter
Apprentice Carpenter
Apprentice Chef
Apprentice Electrician
Apprentice Plumber
Aquaculture Farmers
Arborist
Architect
Architectural Draftsperson
Archivist
Armed Guard
Artistic Director
Asbestos Worker
Assembly Line Worker
Assistant Manager
"Auctioneers, and Stock and Station Agents"
Audiologist
Author
