Group,Skill
Trade Work,Hand Tools - Metal
Trade Work,Hand Tools - Wood
Trade Work,Mechanics - Diesel
Trade Work,Mechanics - Vehicles
Trade Work,Metal Fabrication
Trade Work,Painting / Decorating
Trade Work,Panel Beating
Trade Work,Plastic Injection Moulding
Trade Work,Plumbing
Trade Work,Powder Coating
Trade Work,Road Maintenance 
Trade Work,Road Street Sweeper Operations
Trade Work,Spray Painting Industrial
Trade Work,Welding
Trade Work,Welding - TIG
Transport & Logistics,Bonded Warehouse Experience
Transport & Logistics,Computerised Inventory Systems
Transport & Logistics,Counter Balance Forklift Exp
Transport & Logistics,Deliveries - van/truck
Transport & Logistics,Dispatch
Transport & Logistics,Forklift Experience
Transport & Logistics,High Reach Experience
Transport & Logistics,Inventory Control Experience
Transport & Logistics,Joystick Forklift Experience
Transport & Logistics,Large Warehousing Experience
Transport & Logistics,Receiving Goods
Transport & Logistics,RF Scanning Experience
Transport & Logistics,Shrink wrapper Experience
Transport & Logistics,Small Stores Experience
Transport & Logistics,Stocktake Experience
Transport & Logistics,Van / Truck Deliveries
Viticulture,Cellar Door Operations
Viticulture,Chemical Application / Equipment
Viticulture,Fertilizer Application / Fertigation
Viticulture,Manual Fruit Picking
Viticulture,Manual Vine Pruning
Viticulture,Mechanical Harvester / Pruner
Viticulture,Tractor Operation
Viticulture,Vine Propagation
Viticulture,Vineyard Development
