Beauty Therapist (Qualified)
Nail Technician
Cable Layers - NBN
Road Traffic Controllers
Welder
Bricklayer
Builder
Butcher
Cabinetmaker
Carpenter / Joiners
Concreter
Diesel Mechanic
Electrician
Landscaper
Motor Mechanic
Painter and Decorator
Plasterer (Fibrous)
Plumber
Domestic Cleaner
Commercial / Industrial Cleaner
Truck Jockey
Process Worker
Pick Packer
Storeperson
Couriers and Postal Deliveries
Forklift Driver
Aircraft Baggage Handlers / Airline Ground Crew
Aircraft Cabin Cleaners
Farm Hand
Winery Worker
Truck Drivers (General)
Delivery Driver
Bus Driver
Taxi Driver
Driving Instructor
Aged and Disability Carer
Personal Care Attendant (PCA)
Home Carer
Registered Nurse
Nannies
Social Worker
Kitchenhand
Housekeeping / Room Attendant
Chef
Bar Attendant
Barista
Waiter
Retail / Sales Assistant
Prison Officer
Office - Clerk / Administration
Receptionist 
Project Manager
Accounts Payable Clerk
Accounts Receivable Clerk
Photographer
IT Support Technician
Laundry Worker
Car Park Attendant
Pet Groomers
Labourer
Security Guard
Driver
Painter
Waitress
Call center operator
Disability Support Worker
Administration
Carer
Machine Operator
Teacher
Trades Assistant
Administration Assistant
Customer Service Officer
Cook
Car Detailer
Hairdresser
Sales Consultant
Factory Worker
Dental Assistant
Educator
Rigger
Gardener
Warehouse Assistant
Relief Teacher
Boilermaker
Medical Receptionist
Barber
Plant Operator
Handyman
Tyre Fitter
Labourer
Child Care Worker
Removalist
Accountant
Administration Officer
Apprentice Carpenter
Apprentice Chef
Apprentice Electrician
Apprentice Plumber
Assistant Manager
Baker
Book Keeper
Bottle Shop Attendant
Business Development Manager
Cafe Worker
Cashier
Catering Assistant
Community Support Worker
Consultant
Container Unloader
Deckhand
Deli Assistant
Detailer
Dock Hand
Dog Groomer
Employment Consultant
Engineer
Executive Assistant
Food and Beverage Attendant
Fruit Picker
Graphic Designer
Groundsman
Hospitality Worker
Interpreter
lab technician
Librarian
Maintenance worker
Manager
Massage Therapist
Meter Reader
NURSE
Panel Beater
Payroll Officer
Personal Trainer
Physiotherapist
Property Manager
Real Estate Agent
Research Assistant
Sewing Machinist
Shearer
Spray Painter
Student Support Officer
Swimming Instructor
Tiler
Traffic Controller
Traffic Management
Travel Consultant
Uber Driver
Uber Eats Driver
Safety Officer
Youth Worker
Aboriginal and Torres Strait Islander Education Officer
Aboriginal Civil Site Monitor
Aboriginal Cultural Support Worker
Aboriginal Health Liaison Officer
Aboriginal Visitor Scheme Officer
Accountant 
Account Manager
Accounts Team Leader
Age and Disability Centre Manager / Supervisor
Aged and Disability Carer
Airconditioning & Refrigeration Mechanic
Aircraft Baggage Handlers / Airline Ground Crew
Aircraft Cabin Cleaners
Aircraft Refuellers
Ambulance Officer / Paramedics
Anaesthetic Technician
Animal Attendant
Appointment Setter
Apprentice - Airconditioning & Refrigeration Mechanic
Apprentice - Arborist
Apprentice - Automotive Electrician
Apprentice – Baker
Apprentice - Boilermaker
Apprentice – Bricklayer 
Apprentice – Butcher
Apprentice – Cabinetmaker
Apprentice – Carpenter / Joiner
Apprentice - Concreter
Apprentice - Diesel Mechanic
Apprentice – Electrician
Apprentice – Fitter and Turner
Apprentice - Floor Finisher
Apprentice - Glazier
Apprentice – Hairdresser
Apprentice - Horticulturalist
Apprentice - Landscaper
Apprentice – Motor Mechanic
Apprentice – Painter and Decorator
Apprentice – Panel Beater
Apprentice – Pastrycook
Apprentice - Plasterer (Fibrous)
Apprentice - Plasterer (Solid) - Renderer
Apprentice – Plumber
Apprentice - Printer
Apprentice – Roof Plumber
Apprentice - Roof Tiler
Apprentice - Shopfitter
Apprentice - Signwriter
Apprentice – Spray Painter (Vehicle)
Apprentice - Stonemason
Apprentice - Tiler
Apprentice - Tyre Fitter
Aquaculture Farmers
Arborist
Architect
Armed Guard
Asbestos Worker
Assembly Line Worker
Audiologists
Auditors
Automotive Electrician
Backhoe Operator
Baker  
Bank clerk / Cashier
Bank Manager
Barber Apprenticeship
Bicycle Mechanic
Boat Builder
Bookkeeper
Bricklayer's Labourer
Builder's Labourer
Bulldozer Operator 
Business and Systems Analyst
Business Development Officer
Busser / Glassie
Café and Restaurant Managers / Supervisors
Call Centre Manager
Call Centre Team Leader
Canvas Worker / PVC Welder
Car Rental Sales
Caravan Assembly assistant
Carpet Cleaners
Casino - Gaming Worker 
Cellar Hand
Checkout Operator
Childcare Centre Manager / Supervisor
Chiropractor
Classified Advertising Clerks
CNC Operator
Concierge
Concrete Labourer
Concrete Pump Operator
Container Unloader
Contract Administrator
Conveyencer
Copywriter
Cost Clerk
Counsellor
Crane Chasers (doggers)
"Crane, Hoist and Lift Operator"
Credit / Loans Officer 
Crop Farmers
Crowd Controller
Data Entry Operator
Database Administrator
Debt Collector
Deck and Fishing Hands
Defence Force Member
Dental Technician
Dentist
Despatching and Receiving Clerks
Diver
Drafsperson - Architectural
Drafsperson - Civil Engineering
Drafsperson - Electrical Engineering
Drafsperson - Electronic Engineering
Drafsperson - Mechanical Engineering
Driller's Assistant
"Drillers, Miners and Shot Firers"
Early Childhood Teacher-Degree 
Economist
Electorate Officer
Emergency Service Workers
Engineer - Aircraft Maintenance
Engineer - Aeronautical
Engineer - Agricultural
Engineer - Biomedical
Engineer - Chemical
Engineer - Civil
Engineer - Electrical
Engineer - Electronics
Engineer - Environmental
Engineer - Geotechnical
Engineer - Structural
Engineer - Transport
Engineer - Industrial
Engineer - Materials
Engineer - Mechanical
Engineer - Mining
Engineer - Production and Plant
Enrolled Nurses
Environmental Scientist
Estimator
Event Organiser
Event Staff
Excavator Operator
Facilities Manager
Family Day Care Worker
Fencer
Finance Manager
Financial Advisor
Fire Officer
Fitness Instructor
Fitter and Turner
Flight Attendants
Floor Finisher
Florist
Foreman
Freight Handler
Front End Controller
Front-End Loader
Fruit and Nut Picker 
Funeral Assistant
Funeral Director
Furnace Operator
Furniture Removalist Drivers
Gallery / Museum Guide
Gaming Attendant - Poker Machine 
Gas Meter Reader
General Labourer
Geologist
Glazier
Grader Operator
Graphic Designer
Graphic Pre-Press Trade Worker
Greenkeeper
Hardware/Systems Engineer
Health & Welfare Manager
Heavy Diesel Mechanic
Helicopter Pilot
Home and Community Carer
Horse Trainer
Horticulturalist
Hotel and Motel Managers / Supervisors
Human Resource Adviser
Human Resource Manager
Human Resources / Personnel Clerk
Illustrator (inc. Animators)
Import-Export Clerk
Insurance Agent
Insurance Consultant
Integration Aide
Interior Designer
Interpreters and Translator
IT Helpdesk
IT System Engineer
Jockey
Journalist
Kennel Hands
Kindergarten Assistant / Preschool Aides
Laggers
Lawyer
Learning & Development Manager
Learning and Development Officer
Lecturer
Legal clerk
Legal Secretary
Licensed Club Managers / Supervisors
Life Guard
Limousine Driver
Linemarker
Livestock Farmers
Logistics Clerk
Mail sorter
Management - Retail 
Management Consultant
Marine Engine Driver
Marketing Manager
Marketing Officer
"Meat Boners and Slicers, and Slaughterers"
Medical Records Clerk
Merchandiser
Meter Reader
Midwife
Mining Support Workers
Mortgage Broker
Motor Vehicle Parts Interpreters
Motorcycle Mechanic
Multimedia Designer
Mushroom Pickers
Network Administrator
Night Filler
Nursery Hand / Garden Labourers / Parks & Gardens
Nurses Aides and Personal Carers
Nutritionist
Occupational Therapist
Office Manager
OH&S Officer 
Operations Manager
Optical Dispenser
Organisation and Methods Analysts
Osteopath
Out of School Hours Care Workers
Outdoor Adventure Guides
Oyster Farmer
Panel Beater
Park Ranger
Parking Inspector
Parks Maintenance Officer
Pastrycook  
Pastrycook Assistant / Bakery Assistant
Pathology Collector
Paving and Surfacing Labourer
Personal assistant
Pest Control Technician
Pharmacist
Pharmacist Assistant
Photographers Assistant
Photographic Developers and Printers
Pilot
Plasterer (Solid) - Renderer
Plumbers Assistant
Podiatrist
Police Officer
Porter / Doorperson
Powder Coater
Practice Manager
Prawn Fishing
Precast Concreter
Primary School Teacher 
Print Finisher
Printer (Qualified)
Printing Assistant
Printing Table Worker
Process Worker - Food and Drink
"Process Worker - Meat, Poulty and Seafood"
Production Manager
Program or Project Administrator
Programmer (Software & Applications)
Property Manager
Qualified Chef
Quality Assurance Manager
Quality Controller
Quantity Surveyors
Radio Dispatcher
Radiographer
Railway Track Plant Operator
Railway Track Workers
Real Estate Agency Principal
Real Estate Agent
Recruitment Consultant
Recycling and Rubbish Collectors
Residential Support Worker
Roof Plumber
Roof Tiler
Sales and Marketing Manager
Sales Representative
Samplers / Testers
Scaffolder
School Crossing Supervisor
Screen Printer
Secondary School Teachers
Secretary
Security Officers
Shearer
Sheet Metal Worker
Shoe/Watch Repairer
Shopfitter
Shot Firer
Signwriter
Skid steer / Bobcat
Skipper
Small Engine Mechanic
Software and Applications Programmers
Sound Technician
Speech Pathologist
Sports Centre Manager
Spray Painter (Industrial)
Spray Painter (Vehicle)
Stablehand
Steel Fixers
Stonemason
Structural Steel Erectors
Supervisor - Retail
Supply and Distribution Manager
Surveyors  
Surveyor's Assistant
Systems Administrator
TAB Attendant 
Tanker Drivers
Teacher's Aide
Telemarketer
Ticket Salesperson
Tiler 
Tool Maker
Tour Guide
Tourist Information Officer
Tow Truck Drivers
Tractor Operator
Train and Tram Drivers
Trainer and Assessor
Travel Consultant
Trolley Collector
Tutor
Undertaker
Upholsterer
Used Car Salesperson
Veterinarian
Veterinary Nurse
Visual Merchandiser
Web Designer
Welder - MIG
Welder - TIG
Welder - Stick
Welder - OXY
Welder - Flux-Cored Arc
Welder - Energy Beam
Welder - Atomic Hydrogen
Welfare Support Worker
Window Cleaner
Workplace Relations Adviser
Actor
Actuary
Acupuncturist
Admissions Clerk
Advertising and Marketing Professionals
Advertising Manager
Aged and Disabled Carers
Agricultural and Horticultural Mobile Plant Operator
Agricultural Technicians
Air Traffic Controller
Air Transport Professionals
Aircraft Maintenance Engineer (Avionics)
"Amusement, Fitness and Sports Centre Managers"
Anaesthetists
Analyst Programmer
Architectural Draftsperson
Archivist
Artistic Director
"Auctioneers, and Stock and Station Agents"
Author
Autoglazier
Automobile Drivers
Barristers
Betting Clerks
Biochemist
Biotechnologist
Boiler or Engine Operator
Book or Script Editor
Botanist
Broadcast Transmitter Operator
Building Associate
Building Inspector
Building Insulation Installer
Bulk Materials Handling Plant Operator
Business Machine Mechanic
"Camera Operator (Film, Television or Video)"
Cardiac Technician
Careers Counsellor
Caretakers
Chemical Plant Worker
Chemist
Chemistry Technician
Chief Executives and Managing Directors
Chief Information Officer
Civil Engineering Draftsperson
Civil Engineering Technician
"Clay, Concrete, Glass and Stone Processing Machine Operators"
Clinical Coder
Clinical Psychologist
Clothing Patternmaker
Commodities Trader
Communications Operator
Complementary Health Therapists
Composer
Computer Network and Systems Engineer
Conference and Event Organisers
Conservation Officer
Conservator
Construction Estimator
Construction Managers
Construction Rigger
Corporate Services Managers
Corporate Treasurer
Court and Legal Clerks
Crossing Supervisor
Customer Service Manager
Customs Officer
Dance Teacher (Private Tuition)
Dancer or Choreographer
Dental Hygienist
Dental Therapist
Dermatologist
Detective
Diagnostic and Interventional Radiologist
Diversional Therapists
Drainer
Dressmaker or Tailor
Drug and Alcohol Counsellor
Earth Science Technician
Earthmoving Plant Operator (General)
Education Advisers and Reviewers
Educational Psychologist
Electrical Distribution Trades Workers
Electrical Engineering Draftsperson
Electrical Engineering Technician
Electrical or Telecommunications Trades Assistant
Electronic Engineering Draftspersons and Technicians
Electronic Equipment Trades Worker
Electronic Instrument Trades Worker (General)
Emergency Medicine Specialist
Engineering Managers
Engineering Patternmaker
Engineering Production Workers
Engineering Technologist
Entertainer or Variety Artist
Environmental Consultant
Environmental Health Officer
Environmental Manager
Facilities Administrator
Faculty Head
Family and Marriage Counsellor
Family Support Worker
Fashion Designer
Fast Food Cooks
Fibrous Plasterer
Filing and Registry Clerks
Film and Video Editor
"Film, Television, Radio and Stage Directors"
Financial Brokers
Financial Dealers
Financial Institution Branch Manager
Financial Investment Manager
Fishing Hand
Fleet Manager
Food and Drink Factory Workers
Food Technologist
Food Trades Assistants
Forestry Worker
Funeral Workers
Furniture Finisher
Gallery or Museum Curator
Gallery or Museum Technician
Garden and Nursery Labourers
Gas or Petroleum Operator
Gasfitter
General Clerks
General Managers
General Practitioner
Hair or Beauty Salon Manager
Hardware Technician
Health Information Manager
Health Practice Manager
Health Promotion Officer
Historian
Home Improvement Installer
Hospital Orderly
Hospital Pharmacist
Hotel or Motel Receptionist
Hotel Service Managers
Hunter-Trapper
ICT Business and Systems Analysts
ICT Managers
ICT Quality Assurance Engineer
ICT Sales Professionals
ICT Security Specialist
ICT Trainers
Immigration Officer
Indigenous Health Workers
Industrial Designer
Industrial Spraypainters
Information Officers
Inspectors and Regulatory Officers
"Insurance Investigators, Loss Adjusters and Risk Surveyors"
Intelligence Officer
Intensive Care Specialist
Internal Auditor
Jewellers
Joiner
Judicial and Other Legal Professionals
Laboratory Manager
Land Economists and Valuers
Landscape Architect
Leaflet or Newspaper Deliverer
Liaison Officer
Library Assistants
Library Technician
Life Science Technician
Life Scientist (General)
Lift Mechanic
Livestock Farm Workers
Loader Operator
Locksmith
Logging Assistant
Mail Clerk
Make Up Artist
Management Accountant
Market Research Analyst
Materials Recycler
Mathematician
"Meat, Poultry and Seafood Process Workers"
Mechanical Engineering Draftsperson
Mechanical Engineering Technician
Media Producer (excluding Video)
Medical Diagnostic Radiographer
Medical Laboratory Scientists
Medical Laboratory Technician
Medical Radiation Therapist
"Metal Casting, Forging and Finishing Trades Workers"
Metal Fabricator
Metal Machinist (First Class)
Metallurgist
Meteorologist
Microbiologist
Middle School Teachers
Miner
Ministers of Religion
Mixed Crop and Livestock Farm Workers
Mixed Crop and Livestock Farmers
Model
Mothercraft Nurse
Motion Picture Projectionist
